Publisher;Observer;Focus Taxa T/F;datasetKey
Observation.org, Nature data from around the World;1;F;8a863029-f435-446a-821e-275f4f641165
iNaturalist Research-grade Observations;1;F;50c9509d-22c7-4a22-a47d-8c48425ef4a7
UK Butterfly Monitoring Scheme (UKBMS);1;T;1e266c3d-92ef-4d5a-8e4a-c04742c772c3
Artportalen (Swedish Species Observation System);1;a;38b4c89f-584c-41bb-bd8f-cd1def33e92f
Finnish Entomological Database;2;T;3b301884-51b9-443f-b63c-47feeccfb89f
naturgucker;1;F;6ac3f774-d9fb-4796-b3e9-92bf6c81c084
Swiss National Moths Databank ;2;T;82ad4e4e-f762-11e1-a439-00145eb45e9a
Waarnemingen.be - Butterfly occurrences in Flanders and the Brussels Capital Region, Belgium;1;F;1f968e89-ca96-4065-91a5-4858e736b5aa
Dragonfly records from the British Dragonfly Society Recording Scheme;3;T;1270b3c8-ff55-4b63-a407-dcd7e08cd23f
Bugbase, Lepidopterological Society;2;T;87b6acb8-4db2-4769-93ca-e086040dfe14
Norwegian Species Observation Service;1;F;b124e1e0-4755-430f-9eab-894f25a9b59c
Suffolk Biodiversity Information Service (SBIS) Dataset;1;F;e707e6da-e143-445d-b41d-529c4a777e8b
VectorBase (Bioinformatics Resource for Invertebrate Vectors of Human Pathogens);3;T;c3969d4c-b9c1-439a-96be-ebf369f17a0c
NBIS Records to December 2016;2;F;02d1e772-54ee-4767-b4b8-c35f0c7270ba
Dutch Foundation for Applied Water Research (STOWA) - Limnodata Neerlandica;3;T;37f48e00-1fe8-11dc-b461-b8a03c50a862
Natural History Museum Rotterdam - Observations;NA;T;3ead5cf3-2840-482e-bbd9-76380825be63
BRERC species records from all years at full resolution excluding Notable Species within the last 10 years;2;F;7d17a2b2-8751-41b5-ac9b-48effc1ea236
BugGuide - Identification, Images, & Information For Insects, Spiders & Their Kin For the United States & Canada;1;F;cca13f2c-0d2c-4c2f-93b9-4446c0cc1629
Taiwan Moth Occurrence Data Collected From Social Network;1;T;e0b8cb67-6667-423d-ab71-08021b6485f3
Vlinderdatabank - Butterflies in Flanders and the Brussels Capital Region, Belgium;2;T;7888f666-f59e-4534-8478-3a10a3bfee45
Wider Countryside Butterfly Scheme (WCBS);3;T;0e7ec47d-6247-4fdd-bfb7-96281e0b5ebe
Système d’évaluation de l’état des Eaux (SEEE) - Invertébrés;3;T;d9f7b2f6-03b3-4cd3-817b-c61949d79b1d
Swiss National Grasshoppers Databank;2;T;82afb86e-f762-11e1-a439-00145eb45e9a
eButterfly Surveys;1;T;cf3bdc30-370c-48d3-8fff-b587a39d72d6
National butterfly monitoring scheme in Finland;2;T;181eab51-9399-4baa-a0df-8de01a3acf19
Butterfly distributions for Scotland from Butterfly Conservation and the Biological Records Centre;2;T;a7e947a1-15d4-43ab-a244-b4e7511e5423
Norwegian Biodiversity Information Centre - Other datasets;3;T;492d63a8-4978-4bc7-acd8-7d0e3ac0e744
Swiss National Dragonflies Databank;2;T;82ae8174-f762-11e1-a439-00145eb45e9a
Collections and observation data National Museum of Natural History Luxembourg;3;F;962f59bc-f762-11e1-a439-00145eb45e9a
Liste des espèces de la faune sauvage de la base de données naturalistes Faune-France 2018.;NA;T;1fec2829-4ac0-4329-b448-6f768b8d3427
Caddisfly (Trichoptera) records from Britain (excluding Northern Ireland and Channel Islands) up to the end of 2020 from the National Trichoptera (Caddisfly) Recording Scheme;2;T;bba60198-3eb5-4101-954d-3e2c87df4b73
Waarnemingen.be - Hymenoptera occurrences in Flanders and the Brussels Capital Region, Belgium;1;F;71cfd412-6327-4ec7-8035-d8b2d0509ac5
SER Species-based Surveys;2;T;bbee118c-a50e-4f7f-bca1-d5bfefc5360b
KiEco Freshwater Ecology: River Macroinvertebrates;3;T;fd7d3a3d-7f94-495f-9df6-842d12e2e4b7
Azorean Biodiversity Portal;3;F;24baf0da-60a9-4a13-99d7-a8c860c3cb30
Merseyside BioBank (verified);2;F;c3c56ab1-706c-4e7f-85f8-f6f860e203f2
Shropshire Ecological Data Network database;1;F;25d4f82b-b2bc-4197-bc11-27c8e9a25439
National Trust Species Records;2;F;594e1181-c38a-4f44-b78c-ceab50351cca
Lithuanian Lepidoptera and Odonata;2;T;172f1923-eff1-4d81-8bd3-6023b2224bcb
Swiss National Moths Databank;2;T;754e1720-be12-4ed6-a873-11a6f95aca47
Données ONF faune-flore-fonge;2;F;43027054-3812-4599-b7bc-a01f1df5b071
Estonian Naturalists’ Society;2;F;f1c4df18-12d6-40cb-ab51-5bb0d7f08d6e
Bee, wasp and ant (Hymenoptera: Aculeata) records verified via iRecord;2;T;51b7fe74-b4d9-4027-bd75-8425bfcf5300
DOF - Observations from the Danish Ornithological Society;1;T;95db4db8-f762-11e1-a439-00145eb45e9a
Odonata Central;1;T;3ab13bbb-8efa-4f6a-838b-b6a8eaa3f4df
CLICNAT Base de données naturaliste picarde gérée par Picardie Nature;2;F;ca435754-9190-4a87-9b2c-c21563898294
CEN_PACA_2017_12_18;NA;F;66551429-5e35-4848-94f5-b13bcad669a5
Swiss National Coleoptera Databank;2;T;b087c908-e2fb-413e-b107-c507b212169
Suivi Photographique des Insectes Pollinisateurs (SPIPOLL);1;T;0797c245-3f7f-42db-b822-550a36b2a922
Moths in Berkshire vice-county - records verified via iRecord;2;T;c8ab6260-a5b3-4605-a810-130bc08cf7ea
All taxa records for Leicestershire and Rutland;1;F;5e43a220-a91d-485b-b608-58fd22693be7
Données d'occurrences Espèces issues de l'inventaire des ZNIEFF;4;F;f946666e-67dc-4848-9fa8-2162f3559e33
RECORD Butterfly Data;2;T;fd5b4916-122e-48bb-abe5-33dfd04f95e6
BeeWalk bumblebee distributions for Great Britain 2008-2019;1;T;80df9ab6-fb28-422c-8b86-e92cf9bfdbf7
Swiss National Apoidea Databank;2;T;f9ffbc32-a118-43b3-aee8-69f0776b3161
NIEK_NES;3;F;ef6e0754-8bf2-4854-9aa3-3a2a1a90810b
Welsh Invertebrate Database (WID);2;F;ce8530a2-cd4b-4e51-9927-76bf49b5a9a6
National indicator data for river condition in New Zealand;3;T;8c535464-4c81-4417-a032-1d817fb352ae
Suivi Temporel des Rhopalocères de France (STERF);1;T;869b574f-23eb-4575-a771-6ffd480dcdab
Liste des espèces de la faune sauvage de la base de données naturalistes Faune-France 2017.;1;T;af0c7238-b6c5-4a4d-9fa7-7fb94516d0bc
Waarnemingen.be - Orthoptera occurrences in Flanders and the Brussels Capital Region, Belgium;1;F;958b1d2f-2d11-4e94-a828-c8e2d2c013ca
BV Insectarium Virtual;1;F;fb7d56ee-11aa-454f-8542-89e2ce0fa976
Swedish Butterfly Monitoring Scheme (SeBMS);3;T;be77e203-486c-4651-91b9-8347968b728c
Hatikka Observation Database;1;F;b84a3711-b4ca-4e4f-adac-80dfaea98d1c
HBRG Insects Dataset;1;F;20fa3e49-f75c-4aad-adcd-6b3882caf6db
